"id","banque_id","commentaire","note","date_review","sentiment","langue","topic"
"3","ChIJzb7PdmBFoA0RIqvZVJFELF4","","5.0","2023-06-06 17:22:06","Neutral","ht","Topic 0"
"160","ChIJyxE6ab5aoA0R3fhOGcQR0qE","","1.0","2020-03-30 11:25:49","Neutral","ht","Topic 0"
"4","ChIJz8xDa9dEoA0REy94tunG9m0","Poor costumer service very rude employees ill be closing my account today!","1.0","2025-02-27 13:26:08","Negative","en","Topic 3"
"161","ChIJrbtwfXXTpw0RMvX1W6wjP3c","","5.0","2023-09-09 23:56:18","Neutral","ht","Topic 0"
"5","ChIJz8xDa9dEoA0REy94tunG9m0","Clean and located in great place, the workers dont deal so well, so this is it","3.0","2021-03-05 12:03:36","Positive","en","Topic 1"
"16","ChIJ-yU-BtlEoA0RcBFx1YFy4z4","Akbar chafara hya tijari wafa bank. Hdiw rasokom menha. The post will be sent to you","1.0","2022-04-12 18:05:32","Neutral","en","Topic 2"
"17","ChIJ-yU-BtlEoA0RcBFx1YFy4z4","Do not treat it, and I do not recommend it to you","1.0","2023-12-25 14:25:25","Negative","en","Topic 3"
"18","ChIJ-yU-BtlEoA0RcBFx1YFy4z4","Very good agency good service","4.0","2021-02-11 13:27:23","Positive","en","Topic 0"
"162","ChIJrbtwfXXTpw0RMvX1W6wjP3c","","5.0","2019-04-26 08:15:35","Neutral","ht","Topic 0"
"49","ChIJqTSF1NNboA0RC71Ddcxccs0","It’s a Moroccan bench
It's frankly shameful","1.0","2024-09-23 09:09:21","Negative","unknown","Topic 0"
"50","ChIJqTSF1NNboA0RC71Ddcxccs0","It does not fulfill all your requests, especially on Saturdays...the long wait reminds me of the days of Corona","2.0","2023-11-08 14:20:24","Negative","en","Topic 0"
"51","ChIJqTSF1NNboA0RC71Ddcxccs0","The service meets my banking expectations","4.0","2024-10-27 06:18:41","Neutral","en","Topic 1"
"52","ChIJqTSF1NNboA0RC71Ddcxccs0","","1.0","2024-09-09 16:07:05","Neutral","ht","Topic 0"
"535","ChIJg_QV2OJEoA0RIB0lycIxJzE","Credit du Maroc next to the station","4.0","2022-08-18 10:02:27","Positive","en","Topic 2"
"536","ChIJg_QV2OJEoA0RIB0lycIxJzE","","2.0","2023-09-07 20:21:54","Neutral","ht","Topic 0"
"53","ChIJd8NHhwBFoA0RVgrI6d6SDU4","A substandard agency that must rehabilitate clients, give them lessons in education, how to deal with clients, and a sense of responsibility","1.0","2023-08-15 15:46:44","Neutral","en","Topic 1"
"579","ChIJaTu_YWbLpw0RDH51O633EEE","Thanks for the photo to know the place","5.0","2024-05-10 12:36:26","Positive","en","Topic 1"
"54","ChIJd8NHhwBFoA0RVgrI6d6SDU4","Substandard agency, no treatment, no reception, no service","1.0","2023-11-16 11:11:08","Negative","en","Topic 1"
"55","ChIJd8NHhwBFoA0RVgrI6d6SDU4","Limited service, not very professional","3.0","2019-07-08 09:59:14","Negative","en","Topic 0"
"56","ChIJd8NHhwBFoA0RVgrI6d6SDU4","😃","4.0","2023-07-09 12:06:48","Neutral","ja","Topic 0"
"57","ChIJd8NHhwBFoA0RVgrI6d6SDU4","","4.0","2018-10-20 18:03:15","Neutral","ht","Topic 0"
"58","ChIJdZ26GJxboA0RMuS_K-fR_Ig","Attijari wafa bank","3.0","2021-12-14 20:39:41","Neutral","en","Topic 2"
"59","ChIJdZ26GJxboA0RMuS_K-fR_Ig","","1.0","2024-10-02 15:15:30","Neutral","ht","Topic 0"
"60","ChIJdZ26GJxboA0RMuS_K-fR_Ig","","5.0","2023-12-17 19:22:34","Neutral","ht","Topic 0"
"61","ChIJdZ26GJxboA0RMuS_K-fR_Ig","","4.0","2021-12-15 15:19:54","Neutral","ht","Topic 0"
"580","ChIJaTu_YWbLpw0RDH51O633EEE","Bank tz sedo zaml god","1.0","2024-01-02 12:12:43","Positive","es","Topic 2"
