id,banque_id,auteur,commentaire,note,date_review,langue,sentiment,topic
3,ChIJzb7PdmBFoA0RIqvZVJFELF4,Saad Saad,,5.0,2023-06-06 17:22:06,en,Neutral,
4,ChIJz8xDa9dEoA0REy94tunG9m0,Ismail Belmahi,Poor costumer service very rude employees ill be closing my account today!,1.0,2025-02-27 13:26:08,en,Negative,
5,ChIJz8xDa9dEoA0REy94tunG9m0,Noureddine FougUp,"Clean and located in great place, the workers dont deal so well, so this is it",3.0,2021-03-05 12:03:36,en,Positive,
6,ChIJz8xDa9dEoA0REy94tunG9m0,Azureman Kacha,"No one sucked... to get the code for the application took me around the world until I called back to the headquarters in Casablanca. It cost me 80 euros per call and despite that nothing is not done!! Then I moved to Morocco in Meknes I asked them for the code and they told me you received it 🤦 even though I received nothing!! Blocked no transaction was made on my part from France to buy a property in Morocco because of their service until I broke down and I requested an account closure on the spot he asked me to write a letter I wrote it on the spot after I was received by the manager... she told me your letter is useless! Garbage can !! Ok thank you I would like to know why you asked me to write a letter 30 minutes ago => no response from her..and at the end she tells me the balance before withdrawing it to close except that she has tells me a false figure (100 DH less) and I catch up on the figure. since 2004 I have been with them after 20 years not even a question ""why do you want to close the account"" the customer is shit for them. They made me feel bad",1.0,2024-11-13 23:17:25,en,Negative,
7,ChIJz8xDa9dEoA0REy94tunG9m0,Am Sos,"No one, no one, no one ever meets on phone",1.0,2024-01-17 15:27:21,en,Negative,
8,ChIJz8xDa9dEoA0REy94tunG9m0,Brahim Bouchnafa,The ATM does not give money and still withdraws from my account.,1.0,2021-10-19 10:05:02,en,Neutral,
9,ChIJ_xkG2N5EoA0R9iH5gUUfWsY,skazi Fechkal,Gap 24/24,4.0,2017-11-26 19:55:20,en,Neutral,
10,ChIJ_xkG2N5EoA0R9iH5gUUfWsY,lak&frere Agri,Super,5.0,2023-10-23 15:28:13,en,Positive,
11,ChIJ_xkG2N5EoA0R9iH5gUUfWsY,nadia gigi,"Dynamic staff keen to deliver quality service to customers.
I am an MRE and I had to resolve a card issue and it was resolved in 2 days.
Big thanks to Madame Chaoui Zineb (Meknes) who was professional and attentive.
Nadia",5.0,2024-09-10 08:01:15,unknown,Positive,
12,ChIJ_xkG2N5EoA0R9iH5gUUfWsY,A la,The attitude of the representative responsible for selling products and services does not demonstrate any professionalism. Its lack of friendliness does not make the customer feel welcome. I am disappointed by the quality of service offered by this bank agency.,1.0,2024-04-11 23:59:45,en,Positive,
13,ChIJ_xkG2N5EoA0R9iH5gUUfWsY,kamal kaoukab,"Young, dynamic and professional team, kind and very helpful to encourage",5.0,2022-03-24 10:29:08,en,Positive,
14,ChIJ-yU-BtlEoA0RcBFx1YFy4z4,Houda Lahouifi,"Worst customer service I have ever experienced
Commercial agent offer no empathy, rude behavior and bad attitudes 👎",1.0,2022-10-04 17:11:01,unknown,Negative,
15,ChIJ-yU-BtlEoA0RcBFx1YFy4z4,Med Drioui,This is a banking establishment to carry out various banking operations,4.0,2023-12-27 20:25:15,en,Neutral,
16,ChIJ-yU-BtlEoA0RcBFx1YFy4z4,Othmane Daho,Akbar chafara hya tijari wafa bank. Hdiw rasokom menha. The post will be sent to you,1.0,2022-04-12 18:05:32,en,Neutral,
17,ChIJ-yU-BtlEoA0RcBFx1YFy4z4,Shopping Facile,"Do not treat it, and I do not recommend it to you",1.0,2023-12-25 14:25:25,en,Negative,
18,ChIJ-yU-BtlEoA0RcBFx1YFy4z4,Noureddine FougUp,Very good agency good service,4.0,2021-02-11 13:27:23,en,Positive,
