bank_name,address,place_id,rating,user_ratings_total
Société Générale Meknes Marjane,"Lotissement Marjane II, 119 Route d'agourai, Meknès 50050",ChIJ73R8zEVFoA0R4EGaOQf0pjU,4.0,2
Groupe Crédit Agricole du Maroc,"VC5V+MG9, Unnamed Road, Meknès",ChIJl059iFFFoA0RMeDMhDRREWU,3.0,2
Banque Populaire Kortoba,"52 Ave Zitoune, Meknes",ChIJI0YHq0RFoA0RVTLHpt1o8aY,2.2,6
Banque populaire,"VCHQ+F59، شارع عبد الكريم الخطابي, Meknes",ChIJGUcItMxaoA0RFqLkdmggHb8,3.0,4
Crédit du Maroc,"Lot Cadem N° 124, Meknès 20000",ChIJISsNkB5FoA0RjmLx5tpPQ30,3.0,3
CIH BANK,"Avenue Fkih Ghazi Lotissement, Meknes 50000",ChIJgUZcjhlFoA0R7iOzDRloxbQ,3.6,7
Société Générale Meknes Qortoba,"3 RDC SECT 1 LOTIS KORTOBA, Meknès 50070",ChIJwYIJIVtFoA0RkoJlvAr4Beo,3.0,2
Crédit du Maroc,"28 Ave Mohammed V, Meknes 20000",ChIJkweiNg5FoA0R_evEYe8f038,3.5,12
Crédit du Maroc,"R705, Meknes",ChIJg_QV2OJEoA0RIB0lycIxJzE,3.0,3
Banque populaire,"VFF8+R3X, N13, Meknes",ChIJ4adUXRNFoA0R23QummGgg_k,2.2,18
Bank Populaire البنك الشعبي باب بريمة,"VCVJ+GJ7, Meknes",ChIJ06fFJtZaoA0RRDl4i2fzu8s,3.7,3
banque populaire touarga,"VCFP+JVW, Meknes",ChIJZ5qP3MpaoA0R5mGO1TUstRc,3.0,3
Banque Populaire,"521 Quartier El Mansour, Meknes",ChIJdZcnXLlaoA0ReyNv4Hj4rRk,2.0,3
Bank Assafa,"VFW2+PPW, Meknès",ChIJ_6IaA9lEoA0RosGZ_Lp0vfM,3.0,10
Siege Credit Agricole du Maroc - Meknes,"VFX2+6H3, Meknès",ChIJG0RjB9lEoA0R609GuRXuyyw,3.0,9
Credit Agricole,"VC6C+GXC، Avenue Mohammed VI, Meknes",ChIJO0TFoLxaoA0R1sSmajhCJIw,1.5,8
BMCE bank,"VCRF+HC8, Meknes",ChIJqU1w29haoA0R-bY656hZXDI,3.7,7
Société Générale Meknes Principale,"Place l'union afriquaine, Meknès 50020",ChIJ5V6bM9hEoA0R52vx4ZMIz6o,3.3,12
Banque populaire agence meknes camera,"9 Ave Hassan II, Meknes",ChIJUXh1Z9dEoA0RP8Lp6DfvwSo,2.4,7
CIH BANK,"Residence Abbassid, Route Agouray, Meknès 50000",ChIJOUS66btaoA0RI9ZFcbQnS-k,1.4,71
Banque Populaire Régionale de Meknès,"VFX3+2C5, Angle Avenue Allal Ben Abdellah et Rue, Alexandrie, Meknes",ChIJvxOu1thEoA0RvHbRL4QS6TU,3.3,12
Banque Marocaine du Commerce Exterieur,"VFW4+HP9, Meknès",ChIJiUInnN9EoA0R-6Lb31S6QPw,2.9,8
Bmce Bank Yacoub el Mansour,"WF24+QFJ, Rue Ouakaat Zalaka, Meknes",ChIJWQm-N9xEoA0RiZCCPWiPq60,3.1,11
Banque Populaire,"VC7M+37Q, Meknès",ChIJF2aCR-1boA0Rlu6ZN1af_HU,2.7,7
Société Générale Meknes Medina,"17, Bd. du Mellah - Quartier Berrima, Meknès 50010",ChIJr9DzKdZaoA0RKzQNfzM62Q4,4.8,6
